旧	新	注释
参了各种营养剂	掺了各种营养剂	
改良于海湾战争中	在海湾战争中改良	
这把狙击枪由于	因为这把狙击枪	
子弹弹壳	子弹壳	
连发机能	连发功能	
中性子	中子	
不可思议怪谈	不可思议	
350×19＝6.65	0.35×19＝6.65	
钢铁铁轨	钢铁轨道	
几乎差点	差点	
尝试要	尝试	
钢骨铁轨	钢轨	
用来镇压能力者动的手段	用来镇压能力者暴动的手段	原文「暴走した能力者を捕縛するための方法」，漏「暴」字不成词
时间上只有短短的两秒多	时间上只有短短的不到两秒	原文「時間にしてわずか二秒弱」，二秒弱=不足两秒，「两秒多」数量方向相反
因为受不了而走下站台时的模样	因为受不了而走下电车踏上站台时的模样	原文「満員電車に揺られたサラリーマンがうんざりしながら駅のホームに降り立ったような」，降り立った是下到站台上，「走下站台」方向相反
吃闲饭白色修女	吃闲饭的白色修女	动词性定语「吃闲饭」后缺结构助词「的」，读不通
有很大的理由也是为了把钱换开	很大程度上也是为了把钱换开	原文「両替の意味合いが強い」；「有很大的理由」与「也是为了」句式杂糅
通过十三种相性测验	通过十三种适应性测验	原文「適性試験」（适应性/资质测验），「相性」词义方向错误
十九罐饮料散落的范围非常地远	十九罐饮料散落的范围非常广	原文「結構な範囲に散らばった」；「范围」与「远」不搭且误加「地」
看起来像军用望远镜的大家伙	看起来像军用护目镜的大家伙	原文「ゴッツイ軍用ゴーグル」；ゴーグル 卷内定译「护目镜」（本章其余 7 处）
将望远眼罩挂回额头上	将护目镜挂回额头上	原文「ゴーグルをおでこに引っ掛ける」；同上
挂在额头的军用眼罩	挂在额头的军用护目镜	原文「おでこの辺りには軍用ゴーグル」；同上
但由于大楼的风向都被设计成往同一个方向流动，所以	但因为大楼风都被统一成同一个方向，所以	原文「ビル風が同じ向きに統合されるため」；卷内术语「大楼风」（序章）此处缺「风」字，且「风向」与「流动」不搭（新串直写「因为」，规避 _common#152 由于→因为在管道中的二次改写）
使用特定波长静电杀死害虫	使用特定频率静电杀死害虫	原文「特定周波数により害虫のみを殺害しました」，周波数=频率
紫苏科	唇形科	原文「シソ科」；规范中文科名为唇形科（Lamiaceae），无「紫苏科」科名
然后灌入二十毫克的	然后灌入二十毫升的	原文「神経ガスASD10を二〇ミリ注入し」；ミリ此处指毫升（气体注入体积），非毫克
只有国家级组织才能准许研发	只有国家级组织才能获准研发	原文「国家機関でなければ開発する事が許されない」，被动许可关系译反
<ruby>反坦克步枪<rt>Metal Eater</rt></ruby>	<ruby>反坦克狙击枪<rt>Metal Eater</rt></ruby>	原文「対戦車ライフル」；卷内其余 4 处均译「反坦克狙击枪」
大小大概跟7号电池差不多	大小大概跟5号电池差不多	原文「単三電池」（AA=5号），7号电池相当日文単四
一旦走出这条巷道，好像一切就将这样放弃	一旦走出这条巷道，就好像自己放弃了什么	原文「この裏路地から出る事が、そのまま何かを諦めてしまうような気がして」；「一切就将这样放弃」主客体错位不成句
超越常人境界如此遥远的少年	远远超越常人境界的少年	原文「あまりにもかけ離れた少年」；「如此遥远」前缺「得/到」，程度补语残缺
被用来制造「<ruby>树状图设计者<rt>Tree Diagram</rt></ruby>」	被用于「<ruby>树状图设计者<rt>Tree Diagram</rt></ruby>」	原文「演算回路エンジンに使われる」，使われる=被用于其中，非「用来制造」
<ruby>演算核心<rt>Engine</rt></ruby>	<ruby>演算回路<rt>Engine</rt></ruby>	原文「演算回路」，回路=circuit，误作「核心」
<rt>气枪</rt>	<rt>瓦斯枪</rt>	原文「ガスガン」；与 632 行叙述「瓦斯枪」统一（同一把枪三行内两种译名）
一千两百日元的豪华绚烂	一万两千日元的豪华绚烂	原文「一二〇〇〇円」，金额差一个数量级（583/641 两行同改）
