旧	新	注释
开学式	开学典礼	
有及肩的茶色头发	有着及肩的茶色头发	
像男又像女	像男人又像女人	
见外感	疏远感	
建筑物该有的机能	建筑物该有的功能	
还要广范围	范围还要广	
居民的八成都是学生	学生占了居民中的八成	
枪声弹幕	枪林弹雨	
画过脸颊	划过脸颊	
仿佛像个	仿佛一个	
拖鞋柜在楼梯口的右手边	鞋柜在楼梯口的右手边	下駄箱；同章209行作「鞋柜」，卷内统一
的人际关系全部建立在「上条的朋友」这一点也不为过	的人际关系全都是「上条的朋友」，这一点也不为过	彼女の人間関係は全て『上条の友達の友達』であると言っても良い；「建立在…这一点」句式杂糅
难道你是害怕早起的人？	难道你是不擅长早起的人？	アンタ朝弱いの？；弱い=不擅长，非「害怕」
嘴巴撇成了コ字形	嘴巴撇成了へ字形	口をへの字にする；假名コ系へ之误
只要把钱放进那个东西里面，就会跑出食物来的交换券	只要把钱放进那个东西里面、按下按钮，就会跑出兑换食物的交换券	お金を入れてボタンを押すと食べ物の引換券；漏译「按按钮」，且「跑出食物来的交换券」读不通
而是一般尺寸的运动服	而是均码的运动服	フリーサイズの体操服；フリーサイズ=均码
而你竟然在保健室的床上开心地浑水摸鱼！	而你竟然霸占保健室的床，过得舒舒服服！	保健室のベッドを占拠でぬくぬく状態；浑水摸鱼（趁乱捞好处）词义不符
回收了书包，走向校舍出入口	取回了书包，走向校舍出入口	回収；中文「回收」与书包搭配不当（第七章169行「回收业者」为正用，不动）
<ruby>真相不明<rt>Counter Stop</rt></ruby>	<ruby>正体不明<rt>Counter Stop</rt></ruby>	正体不明カウンターストツプ；正体=身份/真面目，非「真相」；卷内5处
而相对于的，由配备了	而与之相对的，由配备了	これに対して；「而相对于的」不成句
由配备了新世代兵器的教师	由配备了次世代兵器的教师	次世代兵器；系列通行「次世代」（S1_05亦误作新世代，超出本卷范围）
必须在身上装满新世代兵器	必须在身上装满次世代兵器	次世代兵器でガチガチに身を固め；同上
教师实在是太虚弱了	教师实在是太贫弱了	ひどく貧弱に見える；貧弱（装备寒酸）非身体虚弱
这么虚弱的武器	这么贫弱的武器	あまりにも貧弱すぎる；武器不能用「虚弱」
甜点则为杯装的奶酪	甜点则为杯装的酸奶	デザートにはカップのヨーグルト；ヨーグルト=酸奶，奶酪=cheese
难道是因为喜欢奶酪吗？	难道是因为喜欢酸奶吗？	ヨーグルトが大好物とか；同上
以经过圣选的盐及圣油制作而成	以祝圣过的盐及圣油制作而成	聖別した塩を聖油で固めて作った；聖別=祝圣，非「圣选」（S1_25平行语境作祝圣）
还犹如借由侦测	还有如借由侦测	はもちろん…といった…も揃っている；「除了…之外，还犹如」缺谓语
上条先生也好满足很满足了	上条先生也很满足很满足了	上条さんももういっぱいいっぱいですよ；「好满足」系「很满足」之误，叠词呼应上句「我已经很满足了」
内部店的电动场由于	内部店的电动游乐场由于	内部系ゲームセンター；本章6处均作「电动游乐场」，此为孤例缩略
从溃烂的泥土之中	从烂糊糊的泥土之中	ぐちゃりと潰れた泥；溃烂（化脓）用于泥土词义偏移
日光灯、以及其他各种物质	日光灯，以及其他各种物质	顿号不直接接连词「以及」，改逗号
三棱柱侧面的琴键不停受到敲击声，如滂沱大雨般地响了起来	三棱柱侧面敲击琴键的声音，如滂沱大雨般地响了起来	三角柱側面から…キーボードを叩く音が豪雨のように響き渡る；「琴键受到敲击声…响起来」主谓错位
风斩站在十字路口的正中央	风斩坐在十字路口的正中央	十字路の真ん中にいる（中性）；473行摔倒、569行作「坐」，「站」与上下文矛盾
包含着愤怒与恐惧颤抖的吼叫声	隐含着愤怒的、颤抖的吼叫声	怒りを内包する、震えた絶叫；原文无「恐惧」，且「愤怒与恐惧颤抖的」缺「的」
完全被当成一只怪物，那么，或许死在这里也好	完全被当成一只怪物，倒不如死在这里	化け物として扱われるぐらいなら、ここで死んだ方がマシかもしれない；「与其…那么…也好」关联词不搭
雪莉轻声喊道	雪莉低声唤道	シェリーが呟いて；「轻声」与「喊道」语义矛盾
缝纫机的撞针	缝纫机的机针	電動ミシンのような勢い；缝纫机部件为机针，撞针是枪械/打印机部件
缝纫机撞针	缝纫机机针	同上（行间一63行「如缝纫机撞针般的高速撞击声」）
没有任何一架监视器拍出风斩冰华的身影	没有任何一台监视器拍到风斩冰华的身影	どのカメラにも映っていませんでした；监视器量词用「台」
