旧	新	注释
数字总合	数字总和	
所记述的，据说可以召唤天使的惊世魔道书《法之书》，	所著的《法之书》据说可以召唤天使，这本惊世魔道书	
湿气上升	湿度增加	
创造出惊人的温度	导致惊人的高温	
人工建构成的海岸边	人工建造的海岸边	
迅雷不及掩耳般地	迅雷不及掩耳地	
以逸代劳	以逸待劳	
脑袋昏昏沉沉的上条	上条脑袋昏昏沉沉的，	
全部明白	完全明白	
趁胜追击	乘胜追击	
发腊	发蜡	
负责掌管	掌管	
数此	数次	
非旦	非但	
形状是方方正正的四角形	形状是方形	
这是个闷热的一天	这是闷热的一天	量词冗余：「（一）个……一天」搭配不当
根据情报显示	情报显示	「根据情报」与「情报显示」句式杂糅
做得是正经八百	做得正经八百	「得」「是」杂糅；原文「本人は真面目にやっているつもりだろうが」
来跑来找我们玩	跑来找我们玩	衍字
填写的栏位	填写的栏目	港台用词归一（表格填写语境）；S2_23「预留栏位」为数据槽位语境不动
鉴识方法	鉴定方法	原文「鑑定方法」；港台用词归一
路旁的作业员	路旁的工人	港台/日式用词归一（拆除电话亭的工人）
作业员用出入口	员工出入口	同上（工地人员通道）；全语料 18 处语境异质（工地/店员/电厂操纵员），不宜一刀切，仅本卷 2 处按语境改
如今终于有一号人物能够解读了	如今终于有人能够解读了	原文「解読できる人間が現れたという事」；「一号人物」中文惯用义为大人物，方向不符
丰腴肌肉	柔韧肌肉	原文「しなやかな筋肉」（柔韧），丰腴词义方向相反
源自圣方济	源自圣方济·沙勿略	原文「ザビエル」；与卷内译注 note3「圣方济·沙勿略」一致
阿巴尔语	阿瓦尔语	原文「アバル語」即高加索阿瓦尔语（Avar）通行译名
顶多只有几成的力量	顶多只有百分之几的力量	原文「数％が限界」；「几成」把数量级放大约十倍
缴交这份作业	提交这份作业	港台用词归一
piú	piu	原文作无音符「piu」（Io non posso mangiare alcuno piu qualsiasi piu lungo.）；「piú」西语式锐音符两不对，一行 2 处
钻人被窝	钻入被窝	形近误字；同章 344、351 行均作「钻进被窝」
跟修女永远都是以礼相待的硬派男子汉上条当麻	那位超硬派、立了必倒的旗就开溜的男孩上条当麻	原文「超硬派のミスター駄フラグ立て逃げボーイ上条当麻」；Y 改写丢失调侃绰号且「对修女以礼相待」为原文所无
它就在这两百米前方的人造游乐场中	它就在前方约两百米处的人造游乐场中	原文「二〇〇メートルほど先にある人工の遊技場」
拖把般大小的细长双刃剑	拖把杆那么长的细长双刃剑	原文「デッキブラシ（长柄硬毛刷）ぐらいの長さ」；比较的是长度而非大小
古代<ruby>贵族所用之剑	<ruby>贵族所用之剑	原文仅「貴族用の剣」，「古代」为添加且 dress sword 本是近代礼服佩剑
愤怒的头捶	愤怒的头槌	原文「頭突き」；「捶」为捶打义形近误字。全语料另 1 处「头捶」在 S2_01 系「拳头捶在墙上」正用，不动
烟丝的摇曳方式	烟雾的摇曳方式	原文「煙の揺れ方」；烟丝=烟叶丝不会摇曳
砍过来剑身	砍过来的剑身	缺结构助词
只有不到两厘米的距离	只有不到两厘米	「距离鼻尖只有不到两厘米」与「只有不到两厘米的距离」句式杂糅
串着四五具	串着四五台	量词搭配不当（电风扇）；原文「四つも五つも」无量词依据
一旦当他们达成目的后	一旦他们达成目的后	「一旦」与「当……后」语义重复
暗号化也不确实	暗号化也很草率	原文「暗号化もおざなりだし」（敷衍草率）；「不确实」为日文汉字残留
如果要姑且名之，<b>硬要举例的话</b>	<b>硬要举例的话</b>	原文仅「敢えて例えるなら」一个表达，赘余（保留<b>加粗）
乒乓一声巨大声响	咚哐一声巨大声响	原文「ダンゴン!!と馬鹿みたいな音」为沉重钝响，乒乓为清脆声方向不符
处刑方式结束一生	处刑的方式结束一生	缺的；原文「処刑される事でその生涯に幕を下ろしてきました」
他们的「权力」	他们的「权利」	原文「『権利』」，与上文「义务」对举；同音误字
带了股莫名的安心感	带了股莫名的安心	原文「心のどこかで安心したような声」；X 本作安心感不误，此条同时防止 _common「安心感→安全感」在此误改（S1_01 先例）
不但丝毫全无提防之意	不但全无提防之意	「丝毫」与「全无」同义叠加
人数大约有五十人	大约有五十人	成分赘余
一盒工具箱	一个工具箱	量词搭配不当
雷声跟闪电	闪电跟雷声	原文「落雷の光と音」（先光后声），与后句「伤害跟痛觉」先后对应
两百五十名武装派系	两百五十人的武装派系	原文「アニェーゼ＝サンクティス以下二五〇名による武装派閥」；「名」修饰「派系」量词错位
劣势展露无遗	弱点展露无遗	原文「焦り、緊張、恐怖───劣勢」；情绪是弱点非劣势，日文汉字残留
盘内的铅块	盘内的砝码	原文「天秤の左右の皿に…錘（おもり）」；天平语境规范词为砝码。全语料另 2 处「铅块」（S1_23/S2_22）为沉重比喻正用，不动
没什么！身为男子汉，绝对不会买那样的书！我上条当麻还没打算堕落到那种地步！	没什么！冷静想想，光是把那玩意儿拿到收银台，我上条当麻的人生就肯定崩坏了——我可完全没在想那种事！	原文「冷静に考えたらあんなもんを男の手でレジまで持ってくだけでわたくし上条当麻の人生は崩壊するに決まってますとかそんなのは全然考えてませんってば」；Y 改写丢失收银台/人生崩坏/否认在想三层信息并添加「身为男子汉」
「沉思者」般的动作	「思想者」般的动作	罗丹 Le Penseur 大陆通行译名《思想者》（原文 ロダンの『考える人』）；港台用词归一
