旧	新	注释
塑料瓶饮料	塑料瓶装饮料	
有及肩的茶色头发及不服输的表情	有着及肩的茶色头发和不服输的表情	
可让其他医生	其他医生可	
光碟片	光盘	
刑求	刑讯	
跄跄踉踉	踉踉跄跄	
项圈带	项圈	
索讨	索要	
力力	力	
采排外政策	采取排外政策	
身染宿疾	身患宿疾	
也不参加文化祭	也不必参加文化祭	
粗鲁地突然往前狂冲	突然粗鲁地往前狂冲	
流用品	淘汰品	
影像电话	视频电话	
断乳餐	辅食	
小小电脑	小小的电脑	
操纵把手	操纵杆	
流畅地说出	流利地说出	
一派悠哉的立场	一副悠哉的样子	
将激烈的感情展现在扭曲的脸庞上	将强烈的情感展现在扭曲的面容上	
电脑计算室	计算机房	
达成这项开发	完成这项开发	
交集点	交点	
冷气的室外机	空调的室外机	
依我原本的<ruby>个性<rt>Soft</rt></ruby>	依我原本的<ruby>人格<rt>Soft</rt></ruby>	日文同为 人格（ソフト），128 行作「人格(Soft)」，统一为人格
以波长三二〇〇兆赫发震	以频率三二〇〇兆赫发振	原文「周波数三二〇〇メガヘルツにて発振」：メガヘルツ 是频率单位；発振=发振
实在不太适合被别人呀啊啊啊啊？	实在不太适合被别人看呀啊啊啊啊？	成分残缺补谓语；原文「この下はちょっと色々まずいんだから」语义完整
说话时，并在心中对自己的举止感到不可思议	虽然这么说，心中却也对自己的举止感到不可思议	原文「言いながらも」为让步，译句「说话时，并在心中」搭配不通
本来想增加一点新鲜感的	本来想要增加一点新鲜感的	日文三处逐字相同（part0024:180/249/336），统一为 342/424 的「本来想要」
御坂御坂叹了一口气	御坂御坂叹了口气	回忆引文与 488 行原句统一；日文两处逐字相同（part0024:401/part0026:27）
似乎是古文科的讲义	似乎是古文的讲义	原文「古文か何かのプリント」；全卷均作「古文」，此处衍「科」
对自己的心情坦率的，	对自己的心情坦率，	句末「的」为衍字；原文「自分の感情に素直なヤツだぞ」为直陈句
以十足的火力撞个正着	以十足的力道撞个正着	原文「思いっきりタックルしてきた」无「火力」概念
螺栓、锚钉、焊接部位	螺丝、螺栓、焊接部位	原文「ネジ、ボルト、溶接部分」=螺丝/螺栓/焊接；锚钉为误字，且与 670 行统一
失去螺栓及铆钉连接	失去螺丝及螺栓连接	原文「ネジやボルト」=螺丝/螺栓；铆钉=リベット为误译，与 504 行统一
「海原」的视线、四周	「海原」的视野、四周	原文「視界」=视野，非「视线」（目光）
在百忙中伸出了右手	向前伸出了右手	原文「その右手を前へ突き出したが」，无「百忙」之意
却是看得非常准确，即将骑在	却准确无误，即将骑在	原文「確実に」修饰「馬乗りになろうとする」动作，非视觉准确
距离约不到二十米	距离不到二十米	「约」与「不到」矛盾；原文「およそ二〇メートル弱」取「弱」义
「实验」终止前曾经有二十几个	「实验」冻结前曾经有二十几个	原文「『実験』当時は」；本卷 226 行「只是遭到冻结而非永久终止」，实验并未终止
刚好跟其他她们相反	刚好跟其他妹妹们相反	「其他她们」词序错误
的机构，等待调整治疗	的机构等待调整治疗	逗号切断「在境外的机构等待调整治疗的妹妹们」长定语；原文「治療を待つ妹達が『外』の施設に」
根本是无可容许的行为	根本是不可容许的行为	「无可容许」生造搭配；原文「本来ならば許されない」
在人生的生涯之中	在人生之中	「人生」「生涯」语义重复；原文「人生一度で良いから」
鞋底形状的透明凹痕压在	鞋底形状的透明扭曲踩在	原文「透明な歪みが…破片を踏む」：歪み=扭曲（透明人造成的光学扭曲），踏む=踩
<ruby>量产型能力者<rt>Radio Noise</rt></ruby>计划开发计划	<ruby>量产型能力者<rt>Radio Noise</rt></ruby>开发计划	原文「量産型能力者（レデイオノイズ）の開発を行っていた施設」无「計画」；衍一「计划」
埋进柏油路面有数厘米之厚	埋进柏油路面有数厘米之深	陷入路面应用「深」；原文「数センチもめり込んでいた」
泥泞不堪的意识逐渐瓦解	仿佛泥做的意识逐渐瓦解	原文「泥で作った意識が崩れていくように」=泥塑之物崩塌的比喻；泥泞不堪形容道路
停着一辆中古旅行车	停着一辆二手旅行车	「中古」为日语词残留；原文「中古のステーションワゴン」
穿着纯白色的超华丽丝绸质料修道服，上面绣着西式红茶茶杯般的金丝刺绣	穿着纯白色的丝绸质料修道服，上面绣着金丝刺绣，宛如西式红茶茶杯般超华丽	原文「紅茶のカップみたいに壮麗な修道服」：茶杯比喻修饰修道服整体，译文错挂到刺绣上
开战的号角已经响起	开战的狼烟已经升起	原文「開戦の狼煙を上げん」：狼煙=狼烟，号角为意象替换
没否定自己有萝莉控	没否定自己是萝莉控	「有萝莉控」搭配不当；原文「ロリコンって事は否定しねえ」
豪华得不象话	豪华得不像话	象/像误字
亲眼看见到手掌	亲眼看见手掌	「看见」「看到」杂糅
守护存封于记忆中	守护封存于记忆中	「存封」词素颠倒；原文「記憶の中に封じた」
砰！的一声宛如冲击波的巨大声响摧毁了发声器	砰！的一声宛如冲击波的巨大声响，几乎要震毁发声器	原文「スピーカーをぶっ壊すほどの」为夸张修饰，译文坐实摧毁且与上句「发声器爆炸了」重复矛盾
