旧	新	注释
─	—	
无以言喻	难以言喻	
毫无抵御能力	毫无抵御之力	
长度到达脚踝	长度到脚踝	
升了上来	抬了起来	
毫无理由的不相信	毫无理由地不相信	
杜林圣骸布	都灵圣骸布	
前十名内的	前十名的	
皱了眉头	皱起了眉头	
手机电话号码	手机号码	
重启机按钮	重启按钮	
张不开眼睛	睁不开眼睛	
只为了想救上条	只因为想救上条	
梳理台	洗漱台	
破坏了直线三十米内所有物体的橘色光芒	破坏了直线三十米内所有物体的橙色光芒	同行上文作「橙色光线」、L104作「橙色光芒」，卷内统一为橙色
而能够使出这种「异能之力」者，就拥有即使出现神的<ruby>奇迹<rt>System</rt></ruby>，也能完全将之抹消的特异<!--分隔-->能力	而只要是使出这种「异能之力」的东西，哪怕那是神的<ruby>奇迹<rt>System</rt></ruby>，也能不由分说完全抹消的特异<!--分隔-->能力	原文「その『異能の力』を使うモノなら、それがたとえ神様の奇跡システムであっても問答無用で打ち消す異能力」：使用异能之力者是被抹消的对象，非拥有能力的主语；且与下句「超电磁炮也不例外」呼应
上条一路狂奔着，还像赶走黑猫似的踢翻了肮脏的塑胶水桶	上条踢翻肮脏的塑胶水桶，像要赶走黑猫似的一路狂奔	原文「薄汚れたポリバケツを蹴飛ばし、黒猫を追い払うように上条は走り続ける」：「像赶走黑猫似的」修饰奔跑而非踢水桶
就像在拳击比赛中故意一直挨拳头，借以消耗对手体力的战术是一样的	跟在拳击比赛中故意一直挨拳头，借以消耗对手体力的战术是一样的	句式杂糅：「就像……」与「……是一样的」混用
外围有如同万里长城的墙壁所包围	外围被如同万里长城的墙壁所包围	句式杂糅：「有……所包围」不通
伪善者<rt>fox word</rt>	伪善者<rt>Fox Word</rt>	注音大小写与 L730 及第三、四章同词条「Fox Word」统一；原文两处注音均为 フオツクスワード
暴力<rt>Terro</rt>	暴力<rt>Terror</rt>	注音拼写：原文 暴力テロ 即英文 terror
结果因为肌肉做了不习惯的动作，右后小腿	结果因为肌肉做了不习惯的动作，右小腿肚	原文「右足のふくらはぎがつった」：ふくらはぎ＝小腿肚
上条在咂了咂嘴	上条咂了咂嘴	衍字：「在」与「了……了」冲突
还包括聚集了钢筋铁砂所形成的「如鞭之剑」	还包括将铁砂聚集捻合而成的钢铁「如鞭之剑」	原文「砂鉄を縒り集めた鋼鉄の『鞭のような剣』」：鋼鉄＝钢铁（非钢筋），且是铁砂捻成的剑
全部财产30圆（含税）	全部财产三十日元（含税）	卷内货币单位与数字写法统一（上行作「三百二十日元」）；原文「全財産三〇円（税込み）」
罗浮宫美术馆、梵蒂冈美术馆、波咤厘城遗迹	罗浮宫美术馆、梵蒂冈图书馆、波咤厘城遗迹	原文「バチカン図書館」＝图书馆，与ルーブル美術館并列举时抄混
发出了大爆炸	引发了大爆炸	搭配不当：「发出」不与「大爆炸」搭配
即使茵蒂克丝在面临相同的情况时，却愿意选择为了上条当麻而回到这里	即使面临相同的情况，茵蒂克丝也愿意为了上条当麻回到这里	「即使……却」关联词混乱；原文「これと全く同じ状況で、インデックスは上条当麻のために戻ってきたんだとしても」
警报装置<rt>Securite Censor</rt>	警报装置<rt>Security Sensor</rt>	注音拼写：原文 警報装置セキユリテイセンサー 即 security sensor
魔法师的面部肌肉不禁抽搐了一下，	魔法师的面部肌肉不禁抽搐了一下。	段末逗号残句；原文「顔面の筋肉を痙攣させて、…叫んだ瞬間」为一句，中文断句处补句号
奇术师他带来了终焉	魔术师他带来了终焉	标题原文「魔術師は終焉を与える」，与第一章标题「魔法师她降临在高塔」同为 魔術師；正文均作魔法师
有二百三十万超能力者	有两百三十万超能力者	卷内均作「两百三十万」（序章、本章他处、第四章），仅此一处与 Note 页作「二百」
对这世界来说都是有害的」。	对这世界来说都是有害的。」	直接引语收尾句号应在引号内侧，与全章体例一致
日本文化呢？」，向	日本文化呢？」向	引语收尾「？」后衍逗号，全卷唯一
竟然是一架黑色的旧型转盘式电话机	竟然是一部黑色的旧型转盘式电话机	电话机量词应为「部」
