旧	新	注释
求偿	索赔	
张了张	看了看	
不知为何土御门	土御门不知为何	
绝不能遭到玷污	绝不能玷污	
确实的位置	确切的位置	
子弹却刺入	子弹却射入	
海水浴池	海水泳池	海水プール（水产学校内的泳池），浴池=澡堂/浴场，词义方向错
在上条眼中不是『妈妈』	在当麻眼中不是『妈妈』	原文「当麻さん的には」；妈妈台词内自称儿子统一作当麻（127/130 行同），此行突然改用叙述人称上条
放影机	放映机	非标写法，全语料唯一；其余作放映机（S3_08/S3_11）
在这里浑水摸鱼	在这里优哉游哉	原文「のんびりしてて大丈夫なのか」，只是悠闲发懵，非趁乱获利
安可生命之符	安卡生命之符	アンク（ankh）通用译名安卡；安可是 encore（アンコール）的惯用译名，语料唯一
该回馈什么样的反应	该做出什么样的反应	原文「リアクションを提供できる」；回馈与反应语义重复搭配不当
也不知道怎么利用的	也不知道怎么利用它	原文「使い道が分かるとは思えん」；句末「的」为衍字
暑假辅导中学来的	暑假补习中学来的	夏休みの補習卷内三形并存（573 暑假补习/575 暑假辅导/Ch2:607 暑期辅导），统一为暑假补习
暑期辅导的时候	暑假补习的时候	同上，统一为暑假补习；S1_03 的「暑期辅导」不在本卷范围
红色修女	红衣修女	原文均「赤いシスター」；卷内红衣修女×7（首出且多数）、红色修女×5（693/737×2/738/774）、红色少女×1，统一为红衣修女
红色少女将身子压低	红衣修女将身子压低	同上；S3_01 另有「红色少女」不在本卷范围
少女表情再次微微叹气	少女再次微微叹气	原文「少女は前髪で隠れた顔の下で、もう一度ため息をついた」；主语是少女本人，「表情」误植
可以漠视我的警告无所谓	漠视我的警告也无所谓	原文「無視しても構いませんが」；「可以…」与「…也无所谓」句式杂糅
mem tet amed zayin	mem tet lamed zayin	咒语注音原文「メム＝テト＝ラメド＝ザイン」，lamed 脱首字母；799 行数值 40/9/30/7 可佐证
神喻	神谕	神託；同文件 168 行已作神谕，同一日文词两种写法
幸好现在还是扩大影像	幸好现在还只是放大影像	原文「今はズームしているからまだ良いが」；扩大影像为和制搭配，光学放大中文作放大
破口而骂	破口大骂	规范成语作破口大骂；本卷 Ch4:12 已作破口大骂
有一种是用电机的	有一种是带动力的	原文「原動機付き」（动力伞用发动机）；电机=电动机，词义不准且与序章「动力飞行伞」不一致
叫了一台出租车	叫了一辆出租车	量词卷内统一：序章 39 行作「一辆出租车」
跑得不知人影	跑得不见人影	全语料通例「不见人影」约 20 处（本卷序章 184、Ch1:494），不知人影仅此一处
原来是条口香糖	原来是片口香糖	原文板ガム/もう一枚；同场景 220/221/311 行均作片
<rt>上条你</rt>	<rt>阿上</rt>	注音原文カミやん（土御门对上条的昵称），全卷正文统一译阿上，此注音为孤例
一支银色钥匙	一把银色钥匙	钥匙量词作把
一晃眼	一晃一晃	原文「ゆらり、と、」描写影子缓慢摇曳浮现，一晃眼=快速闪过，方向相反且与下句「无声无息」矛盾
心理上死角	心理上的死角	原文「心理的な死角」；缺「的」
照片中拍的三人家族	照片中拍的是一家三口	原文「三人の親子」；三人家族为日式直译
八厘米底片	八毫米底片	原文「八ミリフィルム」（8 毫米胶片）；毫米误作厘米放大十倍；S3_09 的八厘米另语境不在本卷
混账老爸	混蛋老爸	原文クソ親父，同章 86 行作混蛋老爸；全卷混蛋多处、混账仅此一处
轻描淡写地往前踏出一步	若无其事地往前踏出一步	原文「さりげなく刀夜を庇うように一歩前へ出て」；轻描淡写用于说话行文，修饰动作不当
整条右手被切断	整条右臂被切断	原文「右腕を丸ごと切断された」；右腕=手臂（第三卷情节），手+量词条亦不搭配
顽钝而不锐利	钝而不锐利	原文「中途半端に鋭利な先端」；顽钝只用于形容人愚昧迟钝，不用于器物
仿佛正在燃烧火焰的地狱	仿佛正燃烧着火焰的地狱	脱「着」致动宾搭配读不通
比「一扫」更可怕	比「毁天灭地」更可怕	日文『一掃』本卷统一译毁天灭地（371/381/383 等 9 处），此处孤例；S1_22/23 的「一扫」不在本卷
移平高山	夷平高山	原文「山を根こそぎ吹き飛ばし」；移平为生造搭配
事情严重性	事情的严重性	缺结构助词「的」
佛教或道教	佛教或神道	原文「仏教や神道」；道教为误译，与 501-503 行「神道术式」排比自相矛盾
「——————lk啧！」	「——————啧！」	日文底本同处「ｌｋチィッ」为 OCR 噪声，成品不应保留乱码字母
燃料不足的催告声	燃料不足的悲鸣	原文「燃料不足の悲鳴」；催告（催告通知）与悲鸣词义方向不符
<rt>Staff</rt>	<rt>Slave</rt>	原文『共犯スレーブ』，与同行『主犯マスター』（Master）成主从对；Staff 为误植
我实在满头大的	我实在是头大	原文「土御門さんも困った」；「满头大的」非成立汉语形式
虽然跟土御门相视而立	土御门明明就站在正面	原文「確かに土御門は正面に立っているはずなのに」；上条此时已倒地（222-224 行），相视而立与场景矛盾
刀夜不应该不害怕	刀夜不可能不害怕	原文「恐くないはずがない」=不可能不害怕（确定推断）；不应该弱化且拗口
不用替爸担心	不用替爸爸担心	刀夜自称原文父さん，全卷自称统一作爸爸（序章 4 处、第一章 7 处），本行两处孤例
爸知道自己做了	爸爸知道自己做了	同上
神裂人太好了。	真是走运，神裂跟那笨蛋天使干上了。	原文「本当に良かった。神裂がバカ天使とぶつかってくれて」；良かった误挂到神裂品性且「与天使缠斗」整句漏译
Talizman	Talisman	タリスマン=talisman 拼写脱 s 误植 z；本卷其余注音均按标准英文拼写
却颇有出入	却稍有出入	原文「少し違うそうです」；颇有出入（差异相当大）程度夸大
